Nom gare;Code Gare;Type jour;Annee;Date;Ligne;Axe;Tranche horaire;Montants;COVID
ABLON;87545269;JOB;2017;2017-04-25;C;C;De 16h à 20h;515;Avant COVID
ACHERES GRAND CORMIER;87386052;JOB;2018;2018-03-27;A;A;De 16h à 20h;124;Avant COVID
ACHERES VILLE;87381657;DIM;2014;2014-05-18;A;A;Avant 6h;38;Avant COVID
ACHERES VILLE;87381657;SAM;2014;2014-05-17;A;A;De 6h à 10h;644;Avant COVID
AEROPORT CHARLES DE GAULLE 1;87271460;JOB;2019;2019-03-21;B;B;De 16h à 20h;65;Avant COVID
AEROPORT CHARLES DE GAULLE 1;87271460;JOB;2019;2019-03-28;B;B;De 6h à 10h;2017;Avant COVID
AEROPORT CHARLES DE GAULLE 1;87271460;SAM;2019;2019-03-16;B;B;Après 20h;1486;Avant COVID
AEROPORT CHARLES DE GAULLE 1;87271460;SAM;2019;2019-03-16;B;B;De 6h à 10h;828;Avant COVID
AEROPORT CHARLES DE GAULLE 1;87271460;SAM;2019;2019-03-23;B;B;De 10h à 16h;2476;Avant COVID
AEROPORT CHARLES DE GAULLE 2 TGV;87001479;DIM;2019;2019-03-17;B;B;Après 20h;491;Avant COVID
AEROPORT CHARLES DE GAULLE 2 TGV;87001479;DIM;2019;2019-03-24;B;B;Après 20h;3610;Avant COVID
AEROPORT CHARLES DE GAULLE 2 TGV;87001479;JOB;2019;2019-03-21;B;B;De 6h à 10h;0;Avant COVID
AEROPORT CHARLES DE GAULLE 2 TGV;87001479;JOB;2019;2019-03-28;B;B;De 16h à 20h;4408;Avant COVID
ALLEE DE LA TOUR RENDEZ-VOUS;87113878;DIM;2021;2021-09-12;T4;T4;De 16h à 20h;119;Après COVID
ALLEE DE LA TOUR RENDEZ-VOUS;87113878;SAM;2021;2021-09-11;T4;T4;De 16h à 20h;143;Après COVID
AMPERE WAGRAM;87771111;DIM;2017;2017-04-23;C;C;De 10h à 16h;0;Avant COVID
AMPERE WAGRAM;87771111;DIM;2017;2017-04-23;C;C;De 6h à 10h;1;Avant COVID
AMPERE WAGRAM;87771111;JOB;2017;2017-04-25;C;C;De 16h à 20h;5;Avant COVID
ABLON;87545269;DIM;2017;2017-04-23;C;C;De 10h à 16h;434;Avant COVID
AMPERE WAGRAM;87771111;JOB;2017;2017-04-25;C;C;De 6h à 10h;5;Avant COVID
ABLON;87545269;SAM;2017;2017-04-22;C;C;De 10h à 16h;584;Avant COVID
AMPERE WAGRAM;87771111;SAM;2017;2017-04-22;C;C;Après 20h;0;Avant COVID
ABLON;87545269;SAM;2017;2017-04-22;C;C;De 6h à 10h;278;Avant COVID
ANGERVILLE;87543090;SAM;2017;2017-04-22;C;C;De 10h à 16h;30;Avant COVID
ACHERES VILLE;87381657;DIM;2014;2014-05-18;A;A;Après 20h;156;Avant COVID
ANTONY;87758755;JOB;2019;2019-03-21;B;B;De 10h à 16h;3241;Avant COVID
ACHERES VILLE;87381657;JOB;2018;2018-03-27;A;A;De 16h à 20h;561;Avant COVID
ANTONY;87758755;JOB;2019;2019-03-28;B;B;Après 20h;561;Avant COVID
ACHERES VILLE;87381657;JOB;2018;2018-03-27;A;A;De 6h à 10h;2397;Avant COVID
ANTONY;87758755;JOB;2019;2019-03-28;B;B;De 10h à 16h;1388;Avant COVID
ACHERES VILLE;87381657;JOB;2021;2021-10-06;L;L3;De 10h à 16h;130;Après COVID
ANTONY;87758755;JOB;2019;2019-04-02;B;B;De 16h à 20h;564;Avant COVID
AEROPORT CHARLES DE GAULLE 1;87271460;DIM;2019;2019-03-17;B;B;Après 20h;387;Avant COVID
ARCUEIL CACHAN;87758672;JOB;2019;2019-03-21;B;B;Après 20h;650;Avant COVID
AEROPORT CHARLES DE GAULLE 1;87271460;DIM;2019;2019-03-17;B;B;De 6h à 10h;828;Avant COVID
ARCUEIL CACHAN;87758672;JOB;2019;2019-03-28;B;B;De 10h à 16h;461;Avant COVID
AEROPORT CHARLES DE GAULLE 1;87271460;JOB;2019;2019-03-21;B;B;Avant 6h;3;Avant COVID
ARCUEIL CACHAN;87758672;JOB;2019;2019-03-28;B;B;De 16h à 20h;777;Avant COVID
AEROPORT CHARLES DE GAULLE 2 TGV;87001479;DIM;2019;2019-03-17;B;B;De 16h à 20h;4197;Avant COVID
ARGENTEUIL;87381848;DIM;2021;2021-10-10;J;J4;De 10h à 16h;1954;Après COVID
AEROPORT CHARLES DE GAULLE 2 TGV;87001479;DIM;2019;2019-03-17;B;B;De 6h à 10h;2401;Avant COVID
ARGENTEUIL;87381848;DIM;2021;2021-10-10;J;J4;De 6h à 10h;753;Après COVID
AEROPORT CHARLES DE GAULLE 2 TGV;87001479;DIM;2019;2019-03-24;B;B;De 16h à 20h;437;Avant COVID
ARGENTEUIL;87381848;DIM;2021;2021-10-10;J;J6;De 10h à 16h;2878;Après COVID
AEROPORT CHARLES DE GAULLE 2 TGV;87001479;JOB;2019;2019-03-21;B;B;Avant 6h;0;Avant COVID
ARGENTEUIL;87381848;JOB;2021;2021-10-06;J;J4;De 10h à 16h;2567;Après COVID
AEROPORT CHARLES DE GAULLE 2 TGV;87001479;JOB;2019;2019-03-28;B;B;De 10h à 16h;5730;Avant COVID
ARGENTEUIL;87381848;SAM;2021;2021-10-09;J;J6;Après 20h;925;Après COVID
AEROPORT CHARLES DE GAULLE 2 TGV;87001479;SAM;2019;2019-03-16;B;B;Après 20h;2042;Avant COVID
ARGENTEUIL;87381848;SAM;2021;2021-10-09;J;J6;De 6h à 10h;2154;Après COVID
AEROPORT CHARLES DE GAULLE 2 TGV;87001479;SAM;2019;2019-03-16;B;B;De 10h à 16h;2538;Avant COVID
ARPAJON;87545467;DIM;2017;2017-04-23;C;C;Avant 6h;28;Avant COVID
AEROPORT CHARLES DE GAULLE 2 TGV;87001479;SAM;2019;2019-03-16;B;B;De 6h à 10h;1665;Avant COVID
ARPAJON;87545467;JOB;2017;2017-04-25;C;C;De 6h à 10h;1427;Avant COVID
ALLEE DE LA TOUR RENDEZ-VOUS;87113878;DIM;2021;2021-09-12;T4;T4;De 6h à 10h;82;Après COVID
ARPAJON;87545467;SAM;2017;2017-04-22;C;C;Avant 6h;56;Avant COVID
ALLEE DE LA TOUR RENDEZ-VOUS;87113878;JOB;2021;2021-09-21;T4;T4;Après 20h;38;Après COVID
ARPAJON;87545467;SAM;2017;2017-04-22;C;C;De 16h à 20h;350;Avant COVID
ALLEE DE LA TOUR RENDEZ-VOUS;87113878;JOB;2021;2021-09-21;T4;T4;De 16h à 20h;425;Après COVID
ARPAJON;87545467;SAM;2017;2017-04-22;C;C;De 6h à 10h;255;Avant COVID
ALLEE DE LA TOUR RENDEZ-VOUS;87113878;SAM;2021;2021-09-11;T4;T4;Après 20h;47;Après COVID
ASNIERES SUR SEINE;87381137;DIM;2021;2021-10-10;L;L3;Après 20h;297;Après COVID
ALLEE DE LA TOUR RENDEZ-VOUS;87113878;SAM;2021;2021-09-11;T4;T4;Avant 6h;3;Après COVID
ASNIERES SUR SEINE;87381137;DIM;2021;2021-10-10;L;L3;De 10h à 16h;1554;Après COVID
AMPERE WAGRAM;87771111;DIM;2017;2017-04-23;C;C;De 16h à 20h;4;Avant COVID
ASNIERES SUR SEINE;87381137;JOB;2021;2021-10-06;L;L2;Avant 6h;32;Après COVID
AMPERE WAGRAM;87771111;SAM;2017;2017-04-22;C;C;De 6h à 10h;0;Avant COVID
ASNIERES SUR SEINE;87381137;JOB;2021;2021-10-06;L;L2;De 10h à 16h;1348;Après COVID
ANDRESY;87381491;DIM;2021;2021-10-10;J;J6;De 10h à 16h;143;Après COVID
ASNIERES SUR SEINE;87381137;JOB;2021;2021-10-06;L;L3;De 10h à 16h;2205;Après COVID
ANDRESY;87381491;JOB;2021;2021-10-06;J;J6;De 16h à 20h;146;Après COVID
ASNIERES SUR SEINE;87381137;SAM;2021;2021-10-09;L;L2;Avant 6h;19;Après COVID
ANDRESY;87381491;SAM;2021;2021-10-09;J;J6;Après 20h;26;Après COVID
ASNIERES SUR SEINE;87381137;SAM;2021;2021-10-09;L;L3;De 10h à 16h;2582;Après COVID
ANDRESY;87381491;SAM;2021;2021-10-09;J;J6;De 10h à 16h;178;Après COVID
ATHIS MONS;87545251;DIM;2017;2017-04-23;C;C;De 16h à 20h;288;Avant COVID
ANGERVILLE;87543090;JOB;2017;2017-04-25;C;C;De 10h à 16h;21;Avant COVID
ATHIS MONS;87545251;JOB;2017;2017-04-25;C;C;Après 20h;119;Avant COVID
ANGERVILLE;87543090;SAM;2017;2017-04-22;C;C;De 16h à 20h;14;Avant COVID
ATHIS MONS;87545251;JOB;2017;2017-04-25;C;C;Avant 6h;95;Avant COVID
ANTONY;87758755;JOB;2019;2019-03-21;B;B;De 16h à 20h;4371;Avant COVID
ATHIS MONS;87545251;SAM;2017;2017-04-22;C;C;De 10h à 16h;619;Avant COVID
ARBORETUM;87704320;DIM;2021;2021-09-12;T4;T4;Avant 6h;2;Après COVID
AUBERGENVILLE ELISABETHVILLE;87386730;DIM;2021;2021-12-05;J;J5;Après 20h;34;Après COVID
ARBORETUM;87704320;DIM;2021;2021-09-12;T4;T4;De 16h à 20h;126;Après COVID
AUBERGENVILLE ELISABETHVILLE;87386730;DIM;2021;2021-12-05;J;J5;De 16h à 20h;129;Après COVID
ARBORETUM;87704320;JOB;2021;2021-09-21;T4;T4;Après 20h;46;Après COVID
AUBERGENVILLE ELISABETHVILLE;87386730;SAM;2021;2021-12-04;J;J5;Après 20h;40;Après COVID
ARBORETUM;87704320;JOB;2021;2021-09-21;T4;T4;Avant 6h;5;Après COVID
AUBERGENVILLE ELISABETHVILLE;87386730;SAM;2021;2021-12-04;J;J5;Avant 6h;36;Après COVID
ARBORETUM;87704320;JOB;2021;2021-09-21;T4;T4;De 16h à 20h;235;Après COVID
AULNAY SOUS BOIS;87271411;DIM;2019;2019-03-24;B;B;Après 20h;1606;Avant COVID
ARBORETUM;87704320;SAM;2021;2021-09-18;T4;T4;Avant 6h;0;Après COVID
AULNAY SOUS BOIS;87271411;DIM;2021;2021-09-12;T4;T4;Avant 6h;51;Après COVID
ARCUEIL CACHAN;87758672;JOB;2019;2019-03-21;B;B;De 16h à 20h;3706;Avant COVID
AULNAY SOUS BOIS;87271411;DIM;2021;2021-10-10;K;K;Après 20h;17;Après COVID
ARGENTEUIL;87381848;DIM;2021;2021-10-10;J;J4;Avant 6h;129;Après COVID
AULNAY SOUS BOIS;87271411;DIM;2021;2021-10-10;K;K;De 16h à 20h;95;Après COVID
ARGENTEUIL;87381848;JOB;2021;2021-10-06;J;J6;De 10h à 16h;3250;Après COVID
AULNAY SOUS BOIS;87271411;JOB;2019;2019-03-28;B;B;De 10h à 16h;4789;Avant COVID
