Nom gare;Code Gare;Type jour;Annee;Date;Ligne;Axe;Tranche horaire;Montants;COVID
ABLON;87545269;DIM;2017;2017-04-23;C;C;Après 20h;69;Avant COVID
ABLON;87545269;DIM;2017;2017-04-23;C;C;Avant 6h;2;Avant COVID
ABLON;87545269;DIM;2017;2017-04-23;C;C;De 6h à 10h;93;Avant COVID
ABLON;87545269;JOB;2017;2017-04-25;C;C;Après 20h;76;Avant COVID
ABLON;87545269;JOB;2017;2017-04-25;C;C;Avant 6h;73;Avant COVID
ABLON;87545269;JOB;2017;2017-04-25;C;C;De 10h à 16h;624;Avant COVID
ABLON;87545269;JOB;2017;2017-04-25;C;C;De 6h à 10h;1288;Avant COVID
ACHERES GRAND CORMIER;87386052;DIM;2014;2014-05-18;A;A;Après 20h;34;Avant COVID
ACHERES GRAND CORMIER;87386052;DIM;2014;2014-05-18;A;A;De 10h à 16h;78;Avant COVID
ACHERES GRAND CORMIER;87386052;DIM;2014;2014-05-18;A;A;De 16h à 20h;52;Avant COVID
ACHERES GRAND CORMIER;87386052;JOB;2018;2018-03-27;A;A;Avant 6h;7;Avant COVID
ACHERES GRAND CORMIER;87386052;SAM;2014;2014-05-17;A;A;Avant 6h;4;Avant COVID
ACHERES GRAND CORMIER;87386052;SAM;2014;2014-05-17;A;A;De 10h à 16h;95;Avant COVID
ACHERES VILLE;87381657;SAM;2014;2014-05-17;A;A;De 16h à 20h;771;Avant COVID
AEROPORT CHARLES DE GAULLE 1;87271460;DIM;2019;2019-03-17;B;B;Avant 6h;70;Avant COVID
AEROPORT CHARLES DE GAULLE 1;87271460;DIM;2019;2019-03-17;B;B;De 10h à 16h;3241;Avant COVID
AEROPORT CHARLES DE GAULLE 1;87271460;DIM;2019;2019-03-24;B;B;De 16h à 20h;392;Avant COVID
AEROPORT CHARLES DE GAULLE 1;87271460;JOB;2019;2019-03-21;B;B;Après 20h;130;Avant COVID
AEROPORT CHARLES DE GAULLE 1;87271460;SAM;2019;2019-03-16;B;B;De 16h à 20h;1345;Avant COVID
AEROPORT CHARLES DE GAULLE 1;87271460;SAM;2019;2019-03-23;B;B;De 6h à 10h;462;Avant COVID
AEROPORT CHARLES DE GAULLE 2 TGV;87001479;JOB;2019;2019-03-21;B;B;Après 20h;0;Avant COVID
AEROPORT CHARLES DE GAULLE 2 TGV;87001479;JOB;2019;2019-03-21;B;B;De 16h à 20h;0;Avant COVID
AEROPORT CHARLES DE GAULLE 2 TGV;87001479;SAM;2019;2019-03-16;B;B;Avant 6h;112;Avant COVID
ALLEE DE LA TOUR RENDEZ-VOUS;87113878;DIM;2021;2021-09-12;T4;T4;Après 20h;38;Après COVID
ALLEE DE LA TOUR RENDEZ-VOUS;87113878;JOB;2021;2021-09-21;T4;T4;Avant 6h;19;Après COVID
ALLEE DE LA TOUR RENDEZ-VOUS;87113878;SAM;2021;2021-09-11;T4;T4;De 10h à 16h;335;Après COVID
ALLEE DE LA TOUR RENDEZ-VOUS;87113878;SAM;2021;2021-09-18;T4;T4;De 6h à 10h;109;Après COVID
AMPERE WAGRAM;87771111;JOB;2017;2017-04-25;C;C;Après 20h;0;Avant COVID
AMPERE WAGRAM;87771111;JOB;2017;2017-04-25;C;C;De 10h à 16h;2;Avant COVID
AMPERE WAGRAM;87771111;SAM;2017;2017-04-22;C;C;De 10h à 16h;1;Avant COVID
ANDRESY;87381491;JOB;2021;2021-10-06;J;J6;Avant 6h;18;Après COVID
ANDRESY;87381491;JOB;2021;2021-10-06;J;J6;De 6h à 10h;533;Après COVID
ANDRESY;87381491;SAM;2021;2021-10-09;J;J6;De 6h à 10h;88;Après COVID
ANGERVILLE;87543090;SAM;2017;2017-04-22;C;C;Après 20h;2;Avant COVID
ANGERVILLE;87543090;SAM;2017;2017-04-22;C;C;De 6h à 10h;17;Avant COVID
ANTONY;87758755;JOB;2019;2019-03-21;B;B;Après 20h;1351;Avant COVID
ANTONY;87758755;JOB;2019;2019-03-21;B;B;De 6h à 10h;8683;Avant COVID
ANTONY;87758755;JOB;2019;2019-04-02;B;B;De 10h à 16h;1821;Avant COVID
ARBORETUM;87704320;DIM;2021;2021-09-12;T4;T4;De 6h à 10h;29;Après COVID
